id,name,price,description
1,Smart,3985.43,Synergized web-enabled collaboration
2,Toyota,1144.89,Implemented even-keeled alliance
3,Ford,3926.88,Exclusive impactful circuit
4,Volkswagen,84.04,Function-based multi-tasking frame
5,Volkswagen,6051.23,Vision-oriented transitional customer loyalty
6,Scion,220.95,Programmable neutral workforce
7,Ford,2307.3,Focused background parallelism
8,Porsche,1895.31,Visionary multi-state interface
9,Maserati,7571.65,Digitized multi-state infrastructure
10,Pontiac,6716.8,Programmable reciprocal model
